Respondent_ID,Price,Safety,Exterior_Looks,Space_Comfort,Technology,After_Sales_Service,Resale_Value,Fuel_Type,Fuel_Efficiency,Color,Maintenance,Test_drive,Product_Reviews,Testimonials
1,4,4,5,4,3,4,5,4,4,2,4,2,4,3
2,3,5,3,3,4,4,3,4,3,4,3,2,2,2
3,4,4,3,4,5,5,5,4,5,4,5,4,4,3
4,4,4,4,3,3,4,5,5,4,4,4,2,5,3
5,5,5,4,4,5,4,5,3,4,5,5,5,5,2
6,4,4,5,3,4,5,3,4,3,2,3,2,2,3
7,3,4,3,4,3,5,3,4,5,4,3,5,2,4
8,4,3,4,4,5,4,5,4,4,4,5,2,4,4
9,5,4,5,4,3,5,5,4,4,4,4,2,4,4
10,4,4,3,3,5,4,5,5,4,5,5,2,2,4
11,5,4,3,4,5,5,5,3,4,4,4,2,5,4
12,4,3,4,3,5,5,5,4,4,5,5,5,5,4
13,4,4,5,4,3,4,5,4,4,2,5,5,4,3
14,5,5,3,4,5,5,3,4,3,5,4,2,3,3
15,4,3,4,3,4,4,5,4,4,4,5,5,5,4
16,5,4,3,4,3,5,5,5,5,5,4,2,5,3
17,4,4,4,4,4,4,5,3,4,2,5,5,5,4
18,4,4,3,4,5,5,3,4,5,4,5,4,4,4
19,5,5,3,3,5,5,5,4,5,5,5,2,4,4
20,4,4,3,4,4,5,5,4,5,4,5,2,4,3
21,5,4,4,4,5,5,5,5,4,4,5,5,3,3
22,4,3,3,3,5,4,5,3,4,5,4,4,5,4
23,4,4,3,4,5,5,5,4,5,4,5,4,4,3
24,5,4,3,4,5,5,5,4,5,4,4,2,5,3
25,4,4,4,4,4,5,5,5,4,4,5,5,5,4
26,5,3,5,3,3,4,5,3,4,5,5,5,4,4
27,3,5,3,4,4,5,3,4,3,4,4,2,2,3
28,4,4,3,4,5,4,3,4,5,4,5,4,4,3
29,4,4,3,3,5,5,5,5,4,5,4,2,5,4
30,5,3,4,4,4,5,5,3,4,4,5,2,5,4
31,4,4,5,4,3,5,5,4,4,2,4,5,4,2
32,5,5,3,4,4,4,5,4,3,4,3,4,2,2
33,3,5,3,4,4,5,4,4,2,2,3,2,3,4
34,5,4,5,5,5,5,5,5,5,1,3,4,5,5
35,4,5,4,3,4,5,5,3,4,3,4,4,4,5
36,5,4,3,4,4,4,4,4,4,4,5,3,5,3
37,5,3,2,5,4,4,5,5,5,4,5,3,5,3
38,4,4,5,4,3,4,3,4,3,2,3,4,4,4
39,4,4,3,2,2,2,4,3,2,3,2,2,2,4
40,3,4,3,4,4,4,2,3,4,3,3,3,4,4
41,4,5,4,4,4,5,4,5,5,4,4,4,5,4
42,4,5,3,3,2,5,3,3,4,4,3,3,5,3
43,4,5,4,5,4,5,4,5,5,5,4,4,4,4
44,4,5,4,5,5,5,4,5,4,4,4,4,4,5
45,4,5,4,4,3,3,1,4,3,3,3,2,5,4
46,4,4,4,4,4,3,4,4,4,4,4,4,4,5
47,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,4,4,4,4,5,4,3,3,3,4,4,4,5,5
49,4,4,4,4,4,4,3,4,4,4,3,4,4,3
50,4,3,4,4,4,3,4,5,3,3,3,3,3,4
51,4,4,3,3,4,4,2,4,4,3,3,4,4,3
52,4,4,4,4,4,3,2,4,3,4,4,1,4,4
53,5,5,1,5,1,5,5,5,5,5,5,5,5,5
54,4,5,5,5,5,5,4,5,4,4,4,3,5,4
55,5,3,4,3,2,3,4,4,4,4,4,3,4,5
56,5,5,4,4,4,4,4,4,3,3,3,3,5,3
57,4,4,4,4,4,4,4,4,4,3,3,3,4,4
58,4,4,4,4,4,4,4,3,4,4,4,3,4,4
59,3,5,5,5,5,5,3,5,4,4,3,4,5,3
60,5,4,5,4,5,4,3,5,4,4,4,3,5,5
61,4,5,3,5,5,4,1,5,1,3,5,3,5,4
62,5,4,4,4,4,4,4,4,3,3,4,3,3,3
63,5,5,5,5,5,4,4,5,2,1,5,1,4,1
64,3,5,4,4,3,4,4,3,3,5,4,5,5,5
65,5,5,4,5,5,5,3,5,5,3,3,5,5,5
66,5,5,4,5,5,5,3,5,5,3,3,5,5,5
67,3,5,4,4,5,4,3,4,3,4,3,3,4,5
68,4,4,4,5,4,4,2,4,3,4,4,3,4,5
69,4,4,4,4,4,4,2,4,3,3,3,4,3,4
70,4,4,5,4,3,4,3,4,4,5,4,4,4,5
71,4,4,4,5,5,5,2,4,4,4,4,4,4,5
72,4,4,4,4,5,4,3,4,3,4,4,3,4,5
73,4,5,2,4,5,4,3,4,4,4,4,4,4,4
74,3,4,4,4,5,5,1,5,3,3,3,4,4,5
75,4,4,4,3,4,4,4,3,3,3,4,3,4,4
76,4,4,5,4,5,5,1,4,4,4,4,5,4,4
77,4,4,5,5,5,5,5,4,3,3,4,4,3,4
78,5,4,4,4,4,5,3,4,5,4,4,4,5,4
79,4,4,4,4,4,5,2,4,4,5,5,4,5,4
80,4,5,4,4,4,5,2,4,4,3,3,4,3,4
81,4,4,5,5,4,5,2,4,5,4,4,3,4,4
82,4,4,4,5,5,5,1,5,3,3,3,4,4,5
83,4,5,5,4,4,5,3,4,3,3,4,5,3,4
84,4,5,4,3,4,4,4,3,4,4,4,3,5,5
85,4,4,4,5,4,4,3,4,4,4,4,3,5,5
86,4,4,3,4,5,4,4,4,4,4,5,4,5,4
87,4,3,4,4,5,4,3,4,4,5,4,4,5,4
88,4,3,4,4,4,5,3,4,4,3,3,2,4,4
89,4,4,3,4,4,5,3,4,4,4,4,4,4,5
90,4,5,3,4,3,4,2,4,4,4,4,2,4,3
