Respondent_ID,Price,Safety,Exterior_Looks,Space_Comfort,Technology,After_Sales_Service,Resale_Value,Fuel_Type,Fuel_Efficiency,Color,Maintenance,Test_drive,Product_Reviews,Testimonials,Overall Cost,Comfort and Fuel Efficiency,Review Confirmer,Service,Color Trumps All
1,4,4,5,4,3,4,5,4,4,2,4,2,4,3,0.6577449170249781,-0.328680621674902,-0.8337120243271484,-0.46738097319385546,-1.6269919988515893
2,3,5,3,3,4,4,3,4,3,4,3,2,2,2,-1.5233885280082484,-0.9282483453770185,-1.994136086324186,-0.08764889752460245,0.916242531703153
3,4,4,3,4,5,5,5,4,5,4,5,4,4,3,0.921883628771701,0.03382489914364214,-0.40109580667575034,0.9398570074005862,0.4769651759748631
4,4,4,4,3,3,4,5,5,4,4,4,2,5,3,0.6747079108128025,-1.0720620285532019,-0.7367942143598237,-0.2147489718455407,0.2614912083429597
5,5,5,4,4,5,4,5,3,4,5,5,5,5,2,1.4653584301194307,-0.00610079606210573,-0.37934434479435575,-0.6868250407873848,0.7535226326725943
6,4,4,5,3,4,5,3,4,3,2,3,2,2,3,-1.1813835587612347,-1.1131204451817256,-1.4929777735727559,1.416651634012578,-1.4355839792834435
7,3,4,3,4,3,5,3,4,5,4,3,5,2,4,-1.2742986094812279,-0.24977539149232114,0.1442942981173146,1.336882072987711,0.4857556588097837
8,4,3,4,4,5,4,5,4,4,4,5,2,4,4,0.9836291522089088,-0.18120205034502632,0.009772963408813203,-0.7130945023092267,0.06845797673439778
9,5,4,5,4,3,5,5,4,4,4,4,2,4,4,0.7329123818483171,0.006966112257344806,-0.20449030323664036,0.8315741404179459,-0.3618544654453412
10,4,4,3,3,5,4,5,5,4,5,5,2,2,4,0.3851345211316179,-1.0040178709619283,-0.8358750617319785,-0.33176857120450814,1.377264074118922
11,5,4,3,4,5,5,5,3,4,4,4,2,5,4,0.7782650039299011,0.09963312338919082,-0.24253884681379878,0.6833177738623712,0.32696929599374824
12,4,3,4,3,5,5,5,4,4,5,5,5,5,4,0.8397353308405652,-1.2813124012991128,0.6805878946579389,1.344151902951603,0.66292307541758
13,4,4,5,4,3,4,5,4,4,2,5,5,4,3,0.9843595041105093,-0.5286869228337526,-0.2676063511512815,-0.2894377129845539,-1.7578483955723474
14,5,5,3,4,5,5,3,4,3,5,4,2,3,3,-0.44951082036621465,0.7043431222253422,-1.2584583164709504,0.5803453859137244,1.3621091959755436
15,4,3,4,3,4,4,5,4,4,4,5,5,5,4,1.0208438603241208,-1.5867535488290305,0.6240282766273121,-0.055649200042179124,-0.040947368958870994
16,5,4,3,4,3,5,5,5,5,5,4,2,5,3,1.1296209211552002,0.4671170238855915,-0.6547345857148552,0.760530527912787,1.1666227560895404
17,4,4,4,4,4,4,5,3,4,2,5,5,5,4,0.9599058061615878,-0.6648380642303656,0.4007437690828383,-0.39850106261729035,-1.4820409918578483
18,4,4,3,4,5,5,3,4,5,4,5,4,4,4,0.1248212435378236,0.06618387913581864,0.352375068486002,0.8199373069379741,0.609861749979102
19,5,5,3,3,5,5,5,4,5,5,5,2,4,4,0.9572137312608439,-0.8675439698495997,-0.4503907681652913,0.970007880665649,1.3871931822189065
20,4,4,3,4,4,5,5,4,5,4,5,2,4,3,0.8975893722990752,0.10420651463123196,-0.7737052112166258,0.8496305640716517,0.5975038410831203
21,5,4,4,4,5,5,5,5,4,4,5,5,3,3,1.0180984582168537,0.2597137032120437,-0.6662309472882288,0.9244576409457088,-0.02956285159526237
22,4,3,3,3,5,4,5,3,4,5,4,4,5,4,0.6271753560742617,-1.5042512618846466,0.5206549898944095,-0.1569061775409963,0.9927317487137235
